"questionID", "type", "c1","c3","timeout","c2"
"93","hotOrNot","19","34",,
"43","dilemma","22","33","1",
"90","hotOrNot","12","38",,
"103","hotOrNot","39","27","5",
"52","harDu","21","20","1","30"
"4","tekst","9","9","1","19"
"78","tekst","27","5",,"25"
"31","dilemma","15","12",,
"118","hotOrNot","10","11","2",
"61","harDu","6","42","1","31"
"59","harDu","13","17","2","59"
"1","hotOrNot","49","17","3",
"86","hotOrNot","18","27","1",
"70","tekst","13","21","1","11"
"42","dilemma","17","43","3",
"121","hotOrNot","13","19","1",
"96","hotOrNot","26","53",,
"106","dilemma","12","25","4",
"75","tekst","49","9","1","13"
"79","hotOrNot","10","33","4",
"13","tekst","14","39","1","15"
"102","hotOrNot","24","30","5",
"54","harDu","17","27","1","42"
"12","tekst","36","40","1","46"
"15","dilemma","3","33","1",
"58","harDu","6","47","3","29"
"108","hotOrNot","31","34","5",
"22","tekst","10","27","2","14"
"8","tekst","5","12","1","37"
"41","dilemma","9","22","1",
"16","dilemma","15","32","1",
"37","dilemma","8","21","3",
"9","tekst","11","9","2","38"
"20","etisk","10","15","2","51"
"126","hotOrNot","35","20",,
"97","hotOrNot","20","51","2",
"35","dilemma","24","12","1",
"98","hotOrNot","3","50","1",
"51","harDu","11","30","18","16"
"127","hotOrNot","41","15",,
"32","dilemma","22","19","3",
"44","dilemma","12","31","2",
"84","hotOrNot","5","38","1",
"67","tekst","10","23",,"14"
"112","tekst","14","3","1","27"
"87","hotOrNot","18","30","1",
"106","hotOrNot","20","73","4",
"120","hotOrNot","9","12",,
"17","dilemma","42","42",,
"27","dilemma","15","50","2",
"74","tekst","22","9",,"30"
"111","dilemma","25","23","2",
"99","hotOrNot","16","28","3",
"1","dilemma","20","21","1",
"109","dilemma","16","19","4",
"25","dilemma","14","17","1",
"122","hotOrNot","27","16","1",
"104","hotOrNot","23","40","5",
"81","hotOrNot","15","37",,
"69","tekst","13","10","2","35"
"33","dilemma","13","14","1",
"10","tekst","15","18",,"21"
"56","harDu","11","57","4","17"
"105","hotOrNot","13","60",,
"55","harDu","3","73","1","12"
"85","hotOrNot","13","24",,
"83","hotOrNot","12","36",,
"76","tekst","59","5",,"10"
"110","dilemma","19","17","6",
"100","hotOrNot","27","22","2",
"2","hotOrNot","34","24","4",
"48","harDu","4","42","3","9"
"79","tekst","12","22","2","36"
"73","tekst","39","26","2","38"
"113","tekst","17","8",,"5"
"77","tekst","23","24","5","26"
"107","dilemma","20","25","1",
"110","hotOrNot","86","118","13",
"3","hotOrNot","10","27",,
"95","hotOrNot","7","49","1",
"125","hotOrNot","37","12",,
"40","dilemma","35","25","1",
"29","dilemma","57","14",,
"109","hotOrNot","32","40","3",
"46","dilemma","23","22","2",
"107","hotOrNot","50","46","3",
"114","harDu","6","43","5","18"
"1","tekst","7","33",,"31"
"11","tekst","22","20","2","5"
"57","harDu","8","26","1","50"
"105","etisk","13","51","1","28"
"82","hotOrNot","11","26","1",
"47","harDu","8","26","2","28"
"24","dilemma","23","19","3",
"119","hotOrNot","26","3","1",
"34","dilemma","7","22","1",
"21","etisk","32","9",,"44"
"88","hotOrNot","22","18","2",
"23","dilemma","14","23","5",
"71","tekst","26","46","4","17"
"50","harDu","11","32","7","22"
"108","dilemma","10","26","2",
"2","tekst","5","11",,"26"
"101","hotOrNot","38","15","3",
"19","dilemma","13","50","1",
"45","dilemma","26","34",,
"80","hotOrNot","21","11",,
"65","etisk","27","24","2","16"
"30","dilemma","10","20","2",
"36","dilemma","16","19","4",
"123","hotOrNot","10","26","2",
"64","etisk","16","53","2","21"
"49","harDu","15","23","2","33"
"60","harDu","10","45",,"18"
"68","tekst","6","19","1","33"
"72","tekst","59","10","1","23"
"26","dilemma","31","20","3",
"28","dilemma","55","16","3",
"92","hotOrNot","25","17","1",
"6","tekst","11","21",,"18"
"124","hotOrNot","26","11",,
"39","dilemma","18","18","3",
"89","hotOrNot","26","29","1",
"91","hotOrNot","24","20","3",
"14","dilemma","25","17","1",
"38","dilemma","9","15","1",
"53","harDu","28","16","2","31"